lat,lng,food,hotel,shopping,life_service,beauty,tourist,entertainment,sports,education,culture_media,medical,car_service,transportation,finance,estate,company,government,highway-bridleway,highway-cycleway,highway-footway,highway-living_street,highway-motorway,highway-motorway_link,highway-path,highway-pedestrian,highway-primary,highway-primary_link,highway-raceway,highway-residential,highway-road,highway-secondary,highway-secondary_link,highway-service,highway-steps,highway-tertiary,highway-tertiary_link,highway-track,highway-trunk,highway-trunk_link,highway-unclassified,man_made-pier,railway-disused,railway-funicular,railway-light_rail,railway-monorail,railway-narrow_gauge,railway-preserved,railway-rail,railway-subway,railway-tram,light,light_dis,num_pois,poi_entropy,num_highway,num_railway,highway_entropy,subway_dis,shop_center_dis,shop_center_level,mobike
39.725,116.095,13.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,4.0,16.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,64.0,4.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,14.8811480999,6.3926,56.0,2.0841091867,93.0,27.0,1.02781755909,17.661,21.7755,4,27.3204830257
39.725,116.105,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,5.0,0.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,30.0,0.0,0.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,13.8720710278,5.5981,52.0,1.52441139594,77.0,6.0,1.41289924424,17.2687,20.9767,4,42.9855775803
39.725,116.115,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,2.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,10.0,82.0,0.0,0.0,59.0,14.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,0.0,19.5496304035,4.8247,55.0,1.52305143202,226.0,42.0,1.56312085898,16.9106,20.1825,4,37.6780284043
39.725,116.125,6.0,0.0,10.0,10.0,0.0,0.0,3.0,0.0,2.0,0.0,7.0,3.0,3.0,1.0,45.0,37.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,3.0,12.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,18.7992303372,4.0844,135.0,1.91833595015,43.0,36.0,1.35641265232,16.5889,19.3935,4,47.5047998785
39.725,116.135,3.0,0.0,4.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,5.0,1.0,2.0,3.0,73.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.4539513588,3.3989,110.0,1.37815490835,40.0,3.0,1.22849026088,16.3058,18.6104,4,48.6521986785
39.725,116.145,18.0,1.0,41.0,9.0,0.0,0.0,2.0,0.0,5.0,0.0,3.0,14.0,7.0,3.0,7.0,54.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,17.0778491497,2.8086,179.0,2.05722512729,12.0,24.0,1.32966134885,15.4779,17.834,4,54.3836864889
39.725,116.155,16.0,1.0,33.0,14.0,8.0,2.0,3.0,3.0,9.0,0.0,6.0,0.0,7.0,0.0,57.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,26.7340006828,2.3853,183.0,2.13222849434,40.0,15.0,0.851732144057,14.6227,17.0652,4,57.0638869902
39.725,116.165,16.0,1.0,8.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,2.0,4.0,30.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2370858193,2.2264,95.0,2.09667488433,56.0,0.0,0.86739113234,13.7676,16.3051,4,37.2808384598
39.725,116.175,16.0,1.0,7.0,3.0,4.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,2.0,1.0,21.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,18.8664469719,2.3853,83.0,2.08331385399,25.0,22.0,0.69234696709,12.9128,15.5549,4,19.3028404344
39.725,116.185,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,35.2150902748,2.8086,9.0,1.06085694716,30.0,18.0,1.34350564266,12.058,14.8161,4,18.4535885167
