model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,all,fa,2,True,13.187979072216129,12.838606912351596,10.887823219516658,0.10166912076633224,0.7419352070746404,0.09205887337112803,0.7171522415858924,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_1_0.h5
cnn,all,pca,26,True,12.846425769524622,12.724304428572887,11.348969535614538,0.09698859910957344,0.7421379671894839,0.09349959471831111,0.7000433108365155,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_18_0.h5
cnn,all,tca,18,True,11.007868998049883,11.07733039978083,11.112306133909549,0.07372652050450354,0.6790668402195852,0.09575564490099256,0.7640266989323543,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_14_0.h5
cnn,all,pca,10,True,12.8927723493329,12.421396480190007,11.871091037057795,0.11386219808454973,1.373733396111524,0.10102090765666125,0.7499463871853993,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_6_0.h5
cnn,all,pca,22,True,12.903159288958678,12.734610716788108,11.789628015537552,0.1322126352621601,1.7342957684997802,0.10437425832687261,0.7763845789909718,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_15_0.h5
cnn,all,pca,14,True,12.270101616797064,12.239698261449641,11.948534792505479,0.08992790984091399,0.7512146276959535,0.10484568186264835,0.7515226253100514,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_9_0.h5
cnn,all,pca,6,True,13.197595389819863,12.61880113369545,11.961784757512852,0.1316470717763525,1.6134552550668635,0.1057984222119667,0.7756735113223511,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_3_0.h5
cnn,all,tca,2,True,14.417125065659022,13.27981463749939,12.400596535428308,0.14936660231098026,1.5337142647040967,0.10738761384351406,0.7573664392495212,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_2_1.h5
cnn,all,tca,10,True,11.526442679869167,11.669020155049706,11.563764982638382,0.07734944002617022,0.6646305192617596,0.10801974329568226,0.7675123828826822,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_8_0.h5
cnn,all,tca,6,True,10.839988338903588,11.493807289235857,11.70275485304724,0.0736103259335088,0.6960469551434606,0.10826196395388982,0.819827606337799,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_5_0.h5
cnn,all,fa,18,True,10.30081075540915,11.252160528068444,11.931932613804433,0.060429818456189915,0.6091670142267748,0.1097699524460819,0.7811539509787193,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_13_0.h5
cnn,all,pca,2,True,13.482172862413705,12.871438808145118,11.217589166063387,0.1577134593195088,1.7629234841602965,0.10986208736181653,1.5517840729422465,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_0_0.h5
cnn,all,fa,30,True,9.006606367687638,11.026944761443753,11.648158822158644,0.053859350545544166,0.6549336716066371,0.11071517187165941,0.7907960578418064,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_22_0.h5
cnn,all,pca,30,True,13.241461902267229,12.711621842459314,12.311003401324381,0.14035666116043036,1.6153751480781804,0.11269974336618449,1.1151291266291468,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_21_0.h5
cnn,all,fa,14,True,11.565683384858435,11.498315813131297,12.535149438114622,0.08592873279805882,1.0831214166480008,0.11372233422043161,0.7937602326830816,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_10_0.h5
cnn,all,tca,22,True,11.793583667127804,11.882186134009325,11.51981432822747,0.08018816907127603,0.7678987714123924,0.11493090144627602,0.8143179501085301,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_17_0.h5
cnn,all,tca,30,True,12.898732269871445,12.534930427723657,12.826863104704396,0.09812612696154316,0.7392660320453196,0.11561761587379034,0.7844058114231731,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_23_0.h5
cnn,all,tca,26,True,13.16069822696176,13.309723302955522,12.672918934678329,0.07690839222575348,0.6991011476571652,0.11562268826684316,0.812023109040399,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_20_2.h5
cnn,all,pca,18,True,11.587409746570966,11.224205231321433,12.73399048577183,0.08470254476857617,0.9369963909342056,0.12204216580017768,0.8320156726360927,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_12_0.h5
cnn,all,fa,22,True,12.518849237441119,12.234854346607367,13.187777099762044,0.11010951081414175,1.3265751300245456,0.12246196723507935,0.7654557096609009,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_16_0.h5
cnn,all,fa,6,True,15.583670472754427,15.000785131530394,13.258603628686927,0.10593747509992905,0.8062838839032802,0.12419509041640679,0.8589520687885919,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_4_2.h5
cnn,all,fa,10,True,12.560330836956895,12.843243880490377,14.062144874700262,0.08781597463744623,0.739256359480181,0.13992440603619938,0.8768937396945196,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_7_0.h5
cnn,all,fa,26,True,11.265237870529532,11.15641988264099,12.796762793451087,0.07698689541779177,0.751509288259119,0.1489843522014695,0.9064227708989708,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_19_0.h5
cnn,all,tca,14,True,15.347621313928098,15.294220940919326,13.395721124837955,0.23250783262727542,2.115500132388075,0.3222902308922171,3.2324233886472844,./logs/42df6578-30f9-11e8-bb3e-d094662bd47d.h5/best_model_11_0.h5
