model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,all,pca,2,origin,11.294905280899998,11.4997191554,10.6215984109,0.077409732415,0.669513872821,0.0853340911197,0.7000082845300001,./logs/d3c22894-408c-11e8-ae65-d094662bd47d/model_0_0.h5
cnn,all,fa,2,origin,10.7792675279,12.166661704600001,10.491750509500001,0.0758166696601,0.684898690999,0.08592062374639999,0.685485991616,./logs/e13bd970-40d7-11e8-be6f-d094662bd47d/model_1_0.h5
cnn,all,fa,2,origin,12.265922203599999,12.1888979924,10.7401387553,0.09233196260269999,0.717564851308,0.08879984353420001,0.707186075003,./logs/5ccaaa78-4095-11e8-a959-d094662bd47d/model_1_0.h5
cnn,all,pca,26,origin,10.8098151428,11.011116899000001,10.9327379475,0.07201061433410001,0.657345321356,0.0895613191134,0.736692702341,./logs/e13bd970-40d7-11e8-be6f-d094662bd47d/model_12_3.h5
cnn,all,fa,2,origin,11.6644510375,11.7526471868,10.6399757584,0.085954164352,0.7216361056649999,0.08960855270780001,0.728406891305,./logs/d3c22894-408c-11e8-ae65-d094662bd47d/model_1_0.h5
cnn,all,pca,22,origin,13.2655337169,12.9716622396,11.4450435849,0.10623770156500001,0.707220255598,0.08993810784560001,0.6859114325650001,./logs/e13bd970-40d7-11e8-be6f-d094662bd47d/model_10_5.h5
cnn,all,pca,2,origin,11.7228973161,11.5171461586,10.8577106453,0.0836804903527,0.706755103855,0.09078742427580001,0.741049907226,./logs/e13bd970-40d7-11e8-be6f-d094662bd47d/model_0_2.h5
cnn,all,pca,2,origin,11.941242494900001,11.8062226877,10.860459513699999,0.08693468425100001,0.7129732394570001,0.0908125367333,0.739158286407,./logs/5ccaaa78-4095-11e8-a959-d094662bd47d/model_0_0.h5
cnn,all,pca,26,origin,11.7611297208,11.6176156498,11.2736089576,0.09339757739489997,0.690219419576,0.094707727609,0.704824104995,./logs/5ccaaa78-4095-11e8-a959-d094662bd47d/model_24_0.h5
cnn,all,pca,14,origin,10.9602378668,11.3079411721,10.8225942539,0.07599828199889999,0.657657122497,0.09593333746480001,0.779779617645,./logs/e13bd970-40d7-11e8-be6f-d094662bd47d/model_6_2.h5
