model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,poi,pca,10,origin,14.653050054300001,14.1289824562,11.6835538372,0.12499693366299999,0.7557748655509999,0.100054865223,0.746997275658,./logs/d776c968-318c-11e8-b5c5-d094662bd47d/best_model_4_2.h5
cnn,poi,fa,2,origin,12.6988197071,12.648843709100001,11.3487962082,0.103710763171,0.755286138478,0.100297720393,0.754699515571,./logs/0aa0de78-316a-11e8-a286-d094662bd47d/best_model_1_0.h5
cnn,poi,tca,6,origin,12.682421292799999,12.5961702609,11.4830057281,0.103922082987,0.7252105896559999,0.101227476642,0.7373339262199999,./logs/0aa0de78-316a-11e8-a286-d094662bd47d/best_model_5_0.h5
cnn,poi,pca,2,origin,11.4642562608,12.2239090048,11.0870265748,0.08588432275789998,0.730069817503,0.102175484076,0.7447237723819999,./logs/0aa0de78-316a-11e8-a286-d094662bd47d/best_model_0_0.h5
cnn,poi,pca,18,origin,11.7926528509,12.3253111158,11.533759979500001,0.0888638133847,0.674999205431,0.102556756606,0.726149238249,./logs/0aa0de78-316a-11e8-a286-d094662bd47d/best_model_12_0.h5
cnn,poi,pca,18,origin,11.8708084026,12.0580381414,11.030994144500001,0.0896415490868,0.679355490491,0.10354955716299999,0.7394180195379999,./logs/d776c968-318c-11e8-b5c5-d094662bd47d/best_model_8_1.h5
cnn,poi,tca,10,origin,12.192312148800001,12.508629235499999,11.2235250626,0.0967305821138,0.679597206121,0.103847050789,0.715157245426,./logs/0aa0de78-316a-11e8-a286-d094662bd47d/best_model_8_0.h5
cnn,poi,fa,2,origin,12.4720235287,12.5146167447,11.321401894500001,0.0980325304206,0.7396675578890001,0.10440754901,0.7412584291329999,./logs/d776c968-318c-11e8-b5c5-d094662bd47d/best_model_1_0.h5
cnn,poi,pca,10,origin,13.8948378232,13.5172043425,11.7744412916,0.108332255811,0.729904944941,0.104738385977,0.745162596299,./logs/0aa0de78-316a-11e8-a286-d094662bd47d/best_model_6_2.h5
cnn,poi,pca,2,origin,12.171738684000001,12.4857353328,11.0528555406,0.09537119878239997,0.739062503846,0.104892710965,0.7348575287610001,./logs/d776c968-318c-11e8-b5c5-d094662bd47d/best_model_0_0.h5
cnn,poi,all,-1,origin,13.544271157699999,13.444515494100001,11.9820005175,0.111257447141,0.745747629059,0.10531200582900001,0.7741067599349999,./logs/d776c968-318c-11e8-b5c5-d094662bd47d/best_model_16_2.h5
