model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,poi,fa,2,std,13.133384240030852,13.2020515358164,11.321720836760658,0.10685560109642095,0.7823324508708142,0.10304318502167262,0.7496847887842536,./logs/2cac1174-310e-11e8-a1f5-d094662bd47d.h5/best_model_1_1.h5
cnn,poi,pca,6,std,13.621374672923203,13.546496798429596,11.327685024554539,0.11212812645421474,0.7787261096149874,0.10698710037483941,0.7519984796791133,./logs/2cac1174-310e-11e8-a1f5-d094662bd47d.h5/best_model_2_0.h5
cnn,poi,pca,2,std,12.332608962324006,12.995792788884593,11.300103795360256,0.0968042597684606,0.7695316900897948,0.1072810329493166,0.7600751874700936,./logs/2cac1174-310e-11e8-a1f5-d094662bd47d.h5/best_model_0_0.h5
cnn,poi,pca,14,std,12.756035433900553,12.946387988321117,11.229465183018423,0.09917057881428142,0.749700157065461,0.10730447460873091,0.7524983999169252,./logs/2cac1174-310e-11e8-a1f5-d094662bd47d.h5/best_model_6_0.h5
cnn,poi,fa,10,std,13.290696175354514,13.49884178329689,11.955658976953133,0.10641181774292083,0.7705006329686969,0.11193986476247483,0.7649601479949198,./logs/2cac1174-310e-11e8-a1f5-d094662bd47d.h5/best_model_5_1.h5
cnn,poi,fa,14,std,12.525190089252277,12.683410082363382,12.6080918684018,0.0949651617477705,0.7473803674131536,0.11358552177316966,0.7816897337370616,./logs/2cac1174-310e-11e8-a1f5-d094662bd47d.h5/best_model_7_0.h5
cnn,poi,pca,18,std,12.944335005661742,12.713771357804537,11.989179808959955,0.10208275120693985,0.7668236604359095,0.11576218282087783,0.7779941838844266,./logs/2cac1174-310e-11e8-a1f5-d094662bd47d.h5/best_model_8_1.h5
cnn,poi,fa,18,std,12.580565245788117,12.641039280045893,11.973415792810506,0.09398778411919256,0.711684542725453,0.11696278057652165,0.7709318098737189,./logs/2cac1174-310e-11e8-a1f5-d094662bd47d.h5/best_model_9_0.h5
cnn,poi,fa,6,std,15.37621062454445,15.016168092863493,12.43185822004602,0.1448735221232027,0.7592689030367766,0.14505967153134816,0.8610952807439718,./logs/2cac1174-310e-11e8-a1f5-d094662bd47d.h5/best_model_3_0.h5
cnn,poi,pca,10,std,13.603623534998553,13.5329885595354,12.611572175148703,0.11074240016205492,0.761030967645789,0.20847008886704402,1.2330125647509227,./logs/2cac1174-310e-11e8-a1f5-d094662bd47d.h5/best_model_4_0.h5
