model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,street,fa,26,origin,11.206800503499998,11.952087692300001,12.586544993,0.0816460383232,0.723050881869,0.110174248368,0.7216215677779999,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_13_0.h5
cnn,street,fa,6,origin,12.3952450554,12.8592876359,13.0600351322,0.0993985583537,0.797734381181,0.113619293506,0.7169713043260001,./logs/0aa39df2-316a-11e8-bb4b-d094662bd47d/best_model_4_0.h5
cnn,street,pca,2,origin,14.1210347116,14.310595187999999,12.3709480622,0.124721782971,0.864616604027,0.11460487591099999,0.7538155663860001,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_0_0.h5
cnn,street,fa,10,origin,12.7866958645,12.4564112612,13.1659577372,0.102210325708,0.7663255014229999,0.115413257597,0.738393890943,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_5_1.h5
cnn,street,fa,10,origin,12.4699446643,12.6016042665,12.9737815364,0.0972500424449,0.7736615024519999,0.119070066389,0.711569214289,./logs/0aa39df2-316a-11e8-bb4b-d094662bd47d/best_model_7_0.h5
cnn,street,pca,6,origin,12.8378536145,13.2213568441,12.9889945982,0.104400975214,0.801736958653,0.121397365446,0.70609663958,./logs/0aa39df2-316a-11e8-bb4b-d094662bd47d/best_model_3_0.h5
cnn,street,fa,18,origin,10.2480992641,12.3536292021,13.1869887781,0.071810018635,0.6796024615080001,0.125162023185,0.718497560939,./logs/0aa39df2-316a-11e8-bb4b-d094662bd47d/best_model_13_0.h5
cnn,street,tca,10,origin,12.340356223099999,12.1290610216,13.4091916828,0.09534420435730001,0.761380593718,0.125863361566,0.704745753435,./logs/0aa39df2-316a-11e8-bb4b-d094662bd47d/best_model_8_0.h5
cnn,street,tca,2,origin,15.437998498099999,15.337840925,13.5602878598,0.136544096276,0.864087370441,0.126048882706,0.757585913029,./logs/0aa39df2-316a-11e8-bb4b-d094662bd47d/best_model_2_2.h5
cnn,street,fa,2,origin,14.756361793,14.391670341900001,13.002001359300001,0.13199485772,0.8516966311830001,0.12735981203299998,0.7697880309180001,./logs/0aa39df2-316a-11e8-bb4b-d094662bd47d/best_model_1_2.h5
cnn,street,pca,2,origin,13.9635437548,13.917740742000001,13.0388239869,0.122946789093,0.8706537595720001,0.127848981767,0.722362656356,./logs/0aa39df2-316a-11e8-bb4b-d094662bd47d/best_model_0_0.h5
cnn,street,pca,18,origin,12.225088996300002,11.9976332328,15.0054494021,0.0913693367616,0.741363317357,0.128507195203,0.717573584211,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_8_1.h5
cnn,street,fa,6,origin,12.3116628155,13.239438953199999,13.200488473399998,0.0980296666738,0.7877460520559999,0.129190824776,0.7272906645999999,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_3_0.h5
cnn,street,pca,10,origin,14.581777644,13.5699117806,14.8436772331,0.124637420599,0.8171121276450001,0.13212993168099998,0.8244252011669999,./logs/0aa39df2-316a-11e8-bb4b-d094662bd47d/best_model_6_2.h5
cnn,street,fa,18,origin,11.6118795144,12.2968287795,16.3887418747,0.08308889062960001,0.703677363337,0.133580994151,0.749417414004,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_9_0.h5
cnn,street,fa,22,origin,11.0529605367,11.8510788925,13.9836635444,0.082144256554,0.746053616093,0.134429065264,0.790565870355,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_11_0.h5
cnn,street,tca,18,origin,12.4516728954,12.7755985771,15.321232383499998,0.0963429836758,0.789269713846,0.136424223571,0.8107064227709999,./logs/0aa39df2-316a-11e8-bb4b-d094662bd47d/best_model_14_0.h5
cnn,street,all,-1,origin,11.214143458599999,12.194371133599999,15.342598583,0.0806413322744,0.704952456908,0.13830800821,0.762354577007,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_16_0.h5
cnn,street,pca,26,origin,11.970849608800002,12.134540705,16.4675843832,0.09054521903519999,0.757848065691,0.13942151546499998,0.777381721083,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_12_0.h5
cnn,street,pca,6,origin,13.3261841968,13.6972175591,14.098621196199998,0.11079038845599999,0.8016356033550001,0.140748492953,0.802575120309,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_2_0.h5
cnn,street,fa,2,origin,13.1667490779,13.671289551400001,13.210916628900002,0.110437002625,0.826763895149,0.14661657105599998,0.741165319678,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_1_0.h5
cnn,street,fa,30,origin,11.1865900952,11.889497175899999,16.4702503227,0.08127593239360001,0.726141544491,0.14928233768100002,0.732275340056,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_15_0.h5
cnn,street,fa,14,origin,13.016699604400001,12.4366784178,16.0220611501,0.108316548316,0.7701814407800001,0.149413330261,0.75905790773,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_7_0.h5
cnn,street,pca,14,origin,11.95237539,11.882591116099999,17.36952426,0.0916696013852,0.748475481111,0.150037612465,0.739758657693,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_6_0.h5
cnn,street,pca,22,origin,13.021327774300001,12.386966230999999,16.4107261202,0.104438981292,0.774801027309,0.15068957943800002,0.840409843979,./logs/0aa39df2-316a-11e8-bb4b-d094662bd47d/best_model_15_1.h5
cnn,street,pca,14,origin,15.3444280733,14.3180631826,15.0632024409,0.137525721725,0.8182408877069999,0.152714350218,0.882684336506,./logs/0aa39df2-316a-11e8-bb4b-d094662bd47d/best_model_9_2.h5
cnn,street,tca,14,origin,14.926310761199998,13.6938895323,15.8108799852,0.121504963345,0.8221010678899999,0.153032258015,0.8973351065690001,./logs/0aa39df2-316a-11e8-bb4b-d094662bd47d/best_model_11_2.h5
cnn,street,pca,30,origin,12.2915483854,12.5619641101,16.1080256085,0.0961371188532,0.7594545070540001,0.162872747194,0.9428193424600001,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_14_1.h5
cnn,street,tca,6,origin,13.4868903319,12.4987483071,15.1025036601,0.112516295106,0.8058907606199999,0.163881926962,0.857697848708,./logs/0aa39df2-316a-11e8-bb4b-d094662bd47d/best_model_5_0.h5
cnn,street,pca,18,origin,14.807218736,13.5601033969,16.7591661752,0.124974834949,0.8405948343440001,0.17383812853500002,0.9689864248219999,./logs/0aa39df2-316a-11e8-bb4b-d094662bd47d/best_model_12_2.h5
cnn,street,pca,22,origin,12.358220830499999,12.031306054100002,16.980819846099998,0.09507308143639999,0.7549497994959999,0.17665472641899999,0.8564867274269999,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_10_1.h5
cnn,street,pca,10,origin,11.5545149599,12.683027056099998,18.516972004,0.0873398733028,0.741461877034,0.178404456224,0.8287008285840001,./logs/d776ba40-318c-11e8-8701-d094662bd47d/best_model_4_0.h5
cnn,street,fa,14,origin,13.6215097305,13.2821168904,16.727013093900002,0.117402158714,0.82014733332,0.199189286277,1.02498576231,./logs/0aa39df2-316a-11e8-bb4b-d094662bd47d/best_model_10_1.h5
