model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,street,fa,10,std,14.914451081464378,15.267375580990695,13.32889511667214,0.13246394217316868,0.8887769751278839,0.10986206140967952,0.7320680912142613,./logs/2c74748a-310e-11e8-a851-d094662bd47d.h5/best_model_5_1.h5
cnn,street,fa,30,std,15.20255761670153,15.614928955300435,14.992689537466784,0.13796406856946028,0.9009588062194902,0.11192761277555524,0.71849415852011,./logs/2c74748a-310e-11e8-a851-d094662bd47d.h5/best_model_15_1.h5
cnn,street,fa,6,std,14.865052479615658,14.923429135702994,12.706637491962356,0.12945412681077317,0.9464547250567492,0.11424508654643917,0.7151649343571688,./logs/2c74748a-310e-11e8-a851-d094662bd47d.h5/best_model_3_1.h5
cnn,street,pca,26,std,16.646472467392602,17.2276862653381,14.4213855934921,0.16153743248169175,0.9339363597173267,0.11515679730348177,0.7484623932186221,./logs/2c74748a-310e-11e8-a851-d094662bd47d.h5/best_model_12_0.h5
cnn,street,pca,2,std,14.958100660355582,15.061842536812748,12.499692634259398,0.1382039716916415,0.9201610290927087,0.11592615945224065,0.8037426934150079,./logs/2c74748a-310e-11e8-a851-d094662bd47d.h5/best_model_0_0.h5
cnn,street,fa,22,std,14.799858501058832,15.036681227175267,14.298803772642977,0.13293449918635156,0.8769636264651616,0.11769250958820254,0.7356318580572293,./logs/2c74748a-310e-11e8-a851-d094662bd47d.h5/best_model_11_1.h5
cnn,street,pca,6,std,14.326618014800907,14.21964687370126,14.011590981404698,0.12582300492034953,0.9239274777645808,0.11918428634522307,0.7329122164616282,./logs/2c74748a-310e-11e8-a851-d094662bd47d.h5/best_model_2_1.h5
cnn,street,pca,14,std,15.066863967341268,14.872445907096083,12.976073107980014,0.13514520390060009,0.8979476361804023,0.1197880115271072,0.7197199555587491,./logs/2c74748a-310e-11e8-a851-d094662bd47d.h5/best_model_6_1.h5
cnn,street,pca,30,std,13.593602063003955,13.470036422572925,15.384145215250077,0.11512209862800263,0.87281227897986,0.12086821502108476,0.7668124943456596,./logs/2c74748a-310e-11e8-a851-d094662bd47d.h5/best_model_14_0.h5
cnn,street,fa,2,std,14.488616299536927,14.73398383603388,12.885048927706933,0.13120320364408022,0.8966718759746628,0.12102582431244452,0.7187415416719193,./logs/2c74748a-310e-11e8-a851-d094662bd47d.h5/best_model_1_0.h5
cnn,street,pca,10,std,15.279321775921504,15.145436462097491,14.049182053792615,0.13422324701869648,0.8737123087199233,0.12230985778407062,0.7320050899075269,./logs/2c74748a-310e-11e8-a851-d094662bd47d.h5/best_model_4_1.h5
cnn,street,fa,14,std,14.98560716735748,15.45199962491875,14.914594662788035,0.1373276849916217,0.8997662819814729,0.12522988947975358,0.8478753566848022,./logs/2c74748a-310e-11e8-a851-d094662bd47d.h5/best_model_7_1.h5
cnn,street,pca,18,std,15.26400451974431,14.72184326351952,14.39069679307313,0.12902228397526422,0.875925762709046,0.12953850643375864,0.8649894686805721,./logs/2c74748a-310e-11e8-a851-d094662bd47d.h5/best_model_8_2.h5
cnn,street,fa,26,std,17.77372553077044,18.183275331349687,13.661444931239158,0.17824237477177837,0.9547919593434115,0.13448240733595296,0.7644288214899371,./logs/2c74748a-310e-11e8-a851-d094662bd47d.h5/best_model_13_0.h5
cnn,street,pca,22,std,14.865672056405646,15.312788794335933,14.733450660921969,0.13027549274868616,0.8568367579648138,0.14236200242624805,0.7308028380359615,./logs/2c74748a-310e-11e8-a851-d094662bd47d.h5/best_model_10_1.h5
cnn,street,fa,18,std,17.863743139415803,19.11755620232516,16.705606583005242,0.17785222145418225,0.9773643090224007,0.1502847350205913,0.8929792642671673,./logs/2c74748a-310e-11e8-a851-d094662bd47d.h5/best_model_9_0.h5
