model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
dense_cnn,all,pca,2,True,13.379570953730433,12.806157226260824,11.660246841360546,0.11016729508729646,0.9451692690468532,0.09922947850933797,0.7338024847519878,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_0_2.h5
dense_cnn,all,tca,2,True,14.08021808458132,13.280674757075346,11.820482325033115,0.13304128314309854,1.4916396214220953,0.10220299844491279,0.7471044893192059,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_2_2.h5
dense_cnn,all,pca,6,True,13.719954580445311,13.162561053554118,11.878670547349374,0.11442749360655871,1.3211467771540308,0.10325605256296667,0.7583079716263574,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_3_0.h5
dense_cnn,all,pca,18,True,12.930290043383401,12.08910199234596,12.326194276965527,0.17143631641626095,2.1953076457532044,0.10669409520278228,0.934935995282347,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_12_2.h5
dense_cnn,all,pca,30,True,12.428918408386012,12.091184358959753,12.260197497889909,0.10738338518884206,1.3044512058213402,0.10780614253738052,0.8619369651011921,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_21_1.h5
dense_cnn,all,pca,22,True,12.71270338239087,12.049833867467706,11.934945671618866,0.12324822891774315,1.6310344249899686,0.10927217419350468,0.7966419069319263,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_15_3.h5
dense_cnn,all,fa,6,True,13.597512154405607,13.074420318152214,12.231016355942227,0.11864735187789821,1.3693762335994353,0.10933437640623626,0.8598499027972429,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_4_2.h5
dense_cnn,all,fa,10,True,12.29826981267957,11.856027357660729,12.310531682346097,0.09479348356908866,1.103707834234231,0.10948581205574985,0.8514452896024319,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_7_0.h5
dense_cnn,all,tca,22,True,15.30347011304387,14.508361566367594,12.088148522492745,0.3395703794494027,3.135397876291748,0.11067994000091536,0.8805307734713338,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_17_2.h5
dense_cnn,all,pca,26,True,12.554452353944948,11.88711353105231,12.842807526144231,0.09932855679510041,1.1341336309328218,0.11153704304019806,0.8659818271246587,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_18_3.h5
dense_cnn,all,pca,14,True,12.745677721024997,11.988462658952697,12.39155533297932,0.09852486470201494,0.9364840029235856,0.11196769524091979,0.7780696347250238,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_9_1.h5
dense_cnn,all,pca,10,True,11.956261590405893,11.880719890270075,12.312742327741974,0.10677640187416906,1.5120324542552503,0.11207849576665636,0.7924811920213747,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_6_0.h5
dense_cnn,all,fa,2,True,13.293862045007758,13.015295332703177,11.724260559466058,0.1083233474316744,0.7891764033682426,0.11380449295243728,0.8659555922536902,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_1_2.h5
dense_cnn,all,tca,14,True,13.419964971661583,12.784591158227485,12.46045453845169,0.10461827295189485,1.1118376095617222,0.1188999771241188,0.7994500635436973,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_11_2.h5
dense_cnn,all,fa,18,True,9.314887356315609,11.404064836760885,11.3004974491209,0.056132296053339914,0.7932519057638557,0.1272467436324831,1.8676559856139991,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_13_0.h5
dense_cnn,all,tca,30,True,13.17069690234777,12.705428880508883,13.122204280795357,0.11009432014752243,1.1995931514208975,0.12947127585507745,0.8516625378730406,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_23_0.h5
dense_cnn,all,tca,26,True,14.216568905218372,13.923003497415378,13.091636937837855,0.11790153519596544,0.8369915585411338,0.13947506859421366,0.9198098504072031,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_20_1.h5
dense_cnn,all,tca,6,True,11.918224923303002,11.500166256049514,11.951115725306108,0.10042731899362498,1.3585151072609463,0.1903652043380184,2.0278165289666097,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_5_0.h5
dense_cnn,all,fa,22,True,11.79699830766855,12.479590211796607,13.052259866474587,0.1370042945292957,2.1994236783623604,0.19820685612471295,1.9943891743409046,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_16_2.h5
dense_cnn,all,fa,14,True,12.464489685860404,12.181090982838514,12.432404167558094,0.13713794821416533,2.015918706153525,0.22901155311735744,2.85135364046431,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_10_0.h5
dense_cnn,all,fa,30,True,12.670446218231483,12.334011812498382,14.43800475419744,0.11604786945743994,1.5530113440431987,0.5859355368445184,3.8923503396700476,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_22_0.h5
dense_cnn,all,tca,10,True,12.226268933924478,11.659334279357093,12.097446918692178,0.10013905314354082,1.1902357526945468,0.6483122615376522,4.487009107773398,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_8_0.h5
dense_cnn,all,tca,18,True,11.83964333760566,11.419003974078963,12.869599827440108,0.09703326274003364,1.2928134323952851,0.7230694328427225,4.876993725328539,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_14_0.h5
dense_cnn,all,fa,26,True,11.570336545208818,11.402684850463638,12.973917316507796,0.10343505783033308,1.4601045888710071,0.7252518719602239,4.897764274936043,./logs/42dac57c-30f9-11e8-b3cb-d094662bd47d.h5/best_model_19_1.h5
