model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,all,fa,6,origin,12.892178356199999,12.8225539591,11.4652206609,0.0970455728385,0.729080262054,0.119257902671,0.771818678072,./logs/fa80e474-4088-11e8-8ad7-a45e60d0b2df/model_0_0.h5
cnn,all,fa,6,origin,12.7475736675,12.5379227121,11.5022476465,0.0953691755056,0.718143129576,0.119684140317,0.7852211216539999,./logs/e0678b42-4088-11e8-b6c9-a45e60d0b2df/model_0_0.h5
cnn,all,fa,6,origin,12.5440973509,12.4164623006,11.6537490364,0.0918586922526,0.7128774426160001,0.123823855301,0.8285832774959999,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_3_2.h5
cnn,all,fa,2,origin,12.331635043299999,11.826644656300001,11.8740981952,0.0906253051658,0.687476965483,0.12790838858200002,0.7803529116879999,./logs/0aa2049c-316a-11e8-930f-d094662bd47d/best_model_1_0.h5
cnn,all,fa,2,origin,12.737591316400001,12.064092225,11.794661563,0.0938576615025,0.719152214218,0.12937139466800002,0.845175130071,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_1_2.h5
cnn,all,all,-1,origin,12.2910177672,11.9819917431,12.4589867331,0.0894715405689,0.733428802371,0.129573821316,0.807482931455,./logs/fa80e474-4088-11e8-8ad7-a45e60d0b2df/model_1_0.h5
cnn,all,pca,6,origin,12.525949425599999,12.091958867699999,11.7177255193,0.0937411174856,0.7224635006129999,0.130291420579,0.866415025977,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_2_2.h5
cnn,all,fa,18,origin,10.4512027959,10.8726434171,11.8798690551,0.0683717432617,0.634904830641,0.131421882405,0.801635455326,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_9_1.h5
cnn,all,pca,10,origin,12.532239320699999,11.9748055869,11.9914834742,0.09062891171939999,0.7078415811669999,0.133103952459,0.8476282403650001,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_4_2.h5
cnn,all,fa,14,origin,8.61921246127,10.6294477044,12.2875585745,0.0512813381658,0.591991525249,0.13924313593,0.7743797343600001,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_7_0.h5
cnn,all,pca,18,origin,10.9986980702,11.1525060882,12.333443776400001,0.0750224655271,0.655351547918,0.139648201501,0.8383703296989999,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_8_1.h5
cnn,all,fa,2,origin,12.007364338699999,12.011040189400001,12.6780815497,0.0819071285015,0.664842012233,0.13985032026,0.818698301089,./logs/acf559e2-4088-11e8-9129-a45e60d0b2df/model_0_0.h5
cnn,all,fa,10,origin,11.4241798097,11.4684588155,12.7372325472,0.08279177281280001,0.677263267689,0.141449150242,0.795128249101,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_5_0.h5
cnn,all,pca,2,origin,12.0368931626,11.4037813899,12.236283995,0.0881146302598,0.7096669880869999,0.144220100075,0.908476541257,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_0_0.h5
cnn,all,fa,22,origin,9.86664000336,10.6530332333,12.1218653525,0.0628687968689,0.6388869401899999,0.145624375843,0.873430405681,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_11_0.h5
cnn,all,pca,14,origin,12.7547017466,12.541398946400001,12.5339210199,0.08813501392650001,0.694669477227,0.145858813551,0.8824027839899999,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_6_2.h5
cnn,all,pca,2,origin,13.3157672874,12.9065550172,12.3232172335,0.103619520724,0.760032768712,0.145970085516,0.914991145688,./logs/0aa2049c-316a-11e8-930f-d094662bd47d/best_model_0_2.h5
cnn,all,all,-1,origin,10.5564628645,11.0518889399,12.331686406600001,0.06910076291839999,0.629124463482,0.14863283568,0.763517410459,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_16_0.h5
cnn,all,fa,30,origin,10.0622622153,10.8233443039,12.2843617527,0.06356910540090001,0.6163477988220001,0.149857733934,0.854524744779,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_15_0.h5
cnn,all,pca,26,origin,11.335497503,11.9221214131,12.908227502899999,0.0795369926272,0.636796554855,0.154158153351,0.835772990553,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_12_1.h5
cnn,all,pca,22,origin,12.4932712024,12.5949902133,12.480701138499999,0.11856971045600001,0.742782636473,0.15537689771500002,0.8454038326309999,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_10_0.h5
cnn,all,fa,26,origin,12.989120333599999,13.026317173199999,12.839896649100002,0.0883282730092,0.7256977264769999,0.155609915309,0.965579201288,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_13_2.h5
cnn,all,pca,30,origin,12.807113434000001,12.748057951099998,12.9457366719,0.10366971944299999,0.727537814975,0.172324238818,0.943430694661,./logs/ba6c6046-318a-11e8-9f1e-d094662bd47d/best_model_14_2.h5
