model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,all,all,-1,origin,9.86850911113,9.42772054584,14.2316619276,0.0626269305637,0.593793717891,0.160704726581,0.84913117121,./logs/e6d779d8-4088-11e8-9c94-a45e60d0b2df/model_1_0.h5
cnn,all,pca,6,origin,8.46348625078,9.752330350700001,13.7854562306,0.0546660068927,0.5377391237420001,0.17463677836599995,0.8762784278219999,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_2_2.h5
cnn,all,pca,2,origin,8.54061953036,9.67549211637,12.989956115,0.074278606089,0.6426419850789999,0.175783255465,0.8838906186059999,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_0_2.h5
cnn,all,fa,18,origin,11.3393554827,11.4945676176,15.9596203173,0.08082157854389999,0.6747194843340001,0.176598527977,0.8519246191040001,./logs/b6e85418-4088-11e8-b1e2-a45e60d0b2df/model_0_0.h5
cnn,all,fa,30,origin,11.499229017000001,12.1022722049,13.297450968900002,0.0914875384983,0.669681594004,0.17843878160799995,0.886609177897,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_15_4.h5
cnn,all,all,-1,origin,6.44242282462,10.4462442808,13.363291307999999,0.05613986405119999,0.590131546422,0.18358981352200002,0.887533444446,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_16_2.h5
cnn,all,fa,6,origin,6.633692912130001,9.31965716756,13.656506958900001,0.0504475284876,0.580502189458,0.183859177424,0.888056704351,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_3_2.h5
cnn,all,all,-1,origin,9.57992486488,9.8314231983,15.0320352921,0.0689108544941,0.620922384601,0.184088524437,0.932335104684,./logs/070be482-4089-11e8-8151-a45e60d0b2df/model_1_0.h5
cnn,all,pca,22,origin,11.374445238699998,11.1216653172,13.8897446244,0.108104270583,0.710171072588,0.185936538774,0.936494557681,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_10_4.h5
cnn,all,pca,30,origin,10.6709108735,10.6444465781,13.841732484100001,0.08754072360439999,0.662273911673,0.190053896174,0.908438197509,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_14_4.h5
cnn,all,pca,18,origin,12.0905273289,11.780317153699999,13.704066105899999,0.11075898317199999,0.7105124693889999,0.19356633136100002,0.8946570097609999,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_8_4.h5
cnn,all,pca,10,origin,13.8446422371,13.2411615079,14.2297971475,0.11176971426200001,0.7076429300139999,0.197142684953,0.9444950845829999,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_4_4.h5
cnn,all,fa,26,origin,7.45504611735,9.97032779763,13.749065616400001,0.0684695875225,0.6307103168770001,0.199643626999,0.919209225001,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_13_2.h5
cnn,all,fa,14,origin,6.47116384436,8.906152276310001,14.579788497300001,0.049333078548,0.545512971861,0.201808483237,0.911792255165,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_7_3.h5
cnn,all,pca,14,origin,9.61163044768,10.966157340699999,14.1941097416,0.0995791530812,0.729293925966,0.21265836539500002,0.8660131040719999,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_6_2.h5
cnn,all,fa,22,origin,8.16907151954,11.146932146,14.1734917162,0.07351335843989999,0.6243375859529999,0.213624081231,0.929130741366,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_11_2.h5
cnn,all,fa,2,origin,10.6925096683,9.681773729349999,13.497335046300002,0.0976767295327,0.68581926469,0.214851798654,0.93506897682,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_1_5.h5
cnn,all,fa,18,origin,11.138476821800001,11.3566187503,16.7811039049,0.0812969402619,0.662644044811,0.21611736195700001,0.9700924069760001,./logs/070be482-4089-11e8-8151-a45e60d0b2df/model_0_0.h5
cnn,all,pca,26,origin,8.73283015688,10.5279817579,14.480533903800001,0.098164362089,0.719761987727,0.219523863196,0.970405228927,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_12_3.h5
cnn,all,fa,18,origin,11.5857638952,11.4601514598,15.049353571600001,0.12352363978,0.745974617908,0.261095846211,0.924989070071,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_9_5.h5
cnn,all,fa,18,origin,15.0351113158,13.3701157827,20.1181296736,0.145780928472,0.9130948276540001,0.270143987702,1.0636767869600001,./logs/e6d779d8-4088-11e8-9c94-a45e60d0b2df/model_0_0.h5
cnn,all,fa,10,origin,12.3227392724,12.761047335399999,14.3819203654,0.137021105452,0.788862189601,0.286183656458,0.981893307762,./logs/03028c74-40de-11e8-a852-d094662bd47d/model_5_4.h5
