model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,all,pca,18,origin,9.80639985708,10.7355460222,10.0009511219,0.0734074023813,0.648164209262,0.080388711375,0.706694993782,./logs/a3eb5c68-3faa-11e8-b6a5-d094662bd47d/model_16_2.h5
cnn,all,pca,2,origin,11.205501621,11.157431381099999,10.4592834518,0.0997062251463,0.7360649051010001,0.08318912971339999,0.687641746023,./logs/a3eb5c68-3faa-11e8-b6a5-d094662bd47d/model_0_2.h5
cnn,all,pca,4,origin,10.3520416467,10.6300737568,10.5810047872,0.0852052167902,0.654497116619,0.0845705380447,0.6969909423649999,./logs/a3eb5c68-3faa-11e8-b6a5-d094662bd47d/model_2_2.h5
cnn,all,pca,2,origin,11.5733954194,11.266755441099999,10.4312484866,0.106094483393,0.7586869076980001,0.08500077672499999,0.703601253237,./logs/338d0c64-318b-11e8-b2cc-d094662bd47d/best_model_0_0.h5
cnn,all,fa,24,origin,9.85008254849,10.8194524531,10.6794411252,0.0695598317266,0.628702212043,0.0851387572731,0.6898203139569999,./logs/a3eb5c68-3faa-11e8-b6a5-d094662bd47d/model_23_3.h5
cnn,all,fa,26,origin,9.616119394850001,10.1328027825,10.7910086259,0.07194219894569999,0.622519460109,0.08541459078880001,0.6842342865119999,./logs/338d0c64-318b-11e8-b2cc-d094662bd47d/best_model_13_0.h5
cnn,all,pca,12,origin,9.97815641708,10.830754358699998,10.4639711463,0.0785017872988,0.669991007874,0.08626101458699999,0.724967446258,./logs/a3eb5c68-3faa-11e8-b6a5-d094662bd47d/model_10_3.h5
cnn,all,pca,2,origin,11.3147709509,11.3891796473,10.6451855476,0.10159374178300001,0.757511241029,0.0866110625976,0.7046324753219999,./logs/0aa345c8-316a-11e8-9d5f-d094662bd47d/best_model_0_0.h5
cnn,all,fa,30,origin,9.45466900903,10.4287121778,10.3486164423,0.0695034970343,0.614769250477,0.0873647485832,0.710329084887,./logs/338d0c64-318b-11e8-b2cc-d094662bd47d/best_model_15_0.h5
cnn,all,pca,20,origin,9.666870080689998,10.471935265399999,10.3767182866,0.0744774625574,0.623808517175,0.0879742391872,0.747284410183,./logs/a3eb5c68-3faa-11e8-b6a5-d094662bd47d/model_18_2.h5
cnn,all,pca,10,origin,9.51474784405,10.542860840700001,10.2960735435,0.0734817839408,0.658883281171,0.0883526536082,0.7423136330490001,./logs/a3eb5c68-3faa-11e8-b6a5-d094662bd47d/model_8_3.h5
cnn,all,pca,28,origin,9.64271813016,11.5100822201,11.2071697244,0.0738942364668,0.659347438318,0.08908977636769999,0.7047304493600001,./logs/a3eb5c68-3faa-11e8-b6a5-d094662bd47d/model_26_0.h5
cnn,all,all,-1,origin,8.96242535099,9.950027496810002,10.5934897656,0.0619094447199,0.592774782766,0.0894106216564,0.7104221433560001,./logs/338d0c64-318b-11e8-b2cc-d094662bd47d/best_model_16_0.h5
cnn,all,pca,14,origin,9.99537206468,10.702222464,11.173214208,0.08013234148369999,0.650797897286,0.0900207913773,0.7052931112549999,./logs/338d0c64-318b-11e8-b2cc-d094662bd47d/best_model_6_0.h5
cnn,all,pca,30,origin,10.6900449862,11.1042498253,10.8479274454,0.08674112969360001,0.67356482169,0.0910003705326,0.722328370714,./logs/338d0c64-318b-11e8-b2cc-d094662bd47d/best_model_14_2.h5
cnn,all,fa,6,origin,8.93160918283,11.4446374539,11.0038402732,0.0666699865885,0.638804094038,0.09130605290480001,0.696295691567,./logs/a3eb5c68-3faa-11e8-b6a5-d094662bd47d/model_5_1.h5
cnn,all,pca,10,origin,9.37586086948,10.1578752505,10.7824591984,0.0727932477014,0.665629057008,0.0913131051154,0.744953701796,./logs/338d0c64-318b-11e8-b2cc-d094662bd47d/best_model_4_0.h5
cnn,all,pca,22,origin,10.434151052,10.8619626916,10.7824139747,0.0856353399569,0.7042415189740001,0.0919406089445,0.751925805043,./logs/a3eb5c68-3faa-11e8-b6a5-d094662bd47d/model_20_3.h5
cnn,all,fa,8,origin,10.4805446142,11.257907010699999,10.7093337835,0.07728069258289999,0.6778089388330001,0.09198947435699999,0.75688523605,./logs/a3eb5c68-3faa-11e8-b6a5-d094662bd47d/model_7_2.h5
cnn,all,pca,24,origin,10.0502716407,10.8422163327,10.8591348384,0.0805563084371,0.695348575113,0.0926373046066,0.7615653095999999,./logs/a3eb5c68-3faa-11e8-b6a5-d094662bd47d/model_22_2.h5
cnn,all,pca,26,origin,9.81540197354,10.6766015729,10.8770164642,0.0762329585289,0.656039231656,0.0926864336794,0.747977401903,./logs/338d0c64-318b-11e8-b2cc-d094662bd47d/best_model_12_0.h5
cnn,all,fa,12,origin,11.1600402227,11.118689641800001,10.9888007195,0.0873515427133,0.6887314198610001,0.0927423543136,0.7384390959430001,./logs/a3eb5c68-3faa-11e8-b6a5-d094662bd47d/model_11_3.h5
cnn,all,pca,18,origin,10.0236893712,10.848010647899999,10.9887899267,0.0793467911505,0.681596058045,0.093035922242,0.731200884058,./logs/338d0c64-318b-11e8-b2cc-d094662bd47d/best_model_8_0.h5
cnn,all,fa,28,origin,8.69352718214,9.97479225589,10.9493801057,0.061606865412,0.6355640963310001,0.093589031799,0.7319704122290001,./logs/a3eb5c68-3faa-11e8-b6a5-d094662bd47d/model_27_2.h5
cnn,all,fa,26,origin,9.94363619907,10.5039679524,11.2775653552,0.0748601343203,0.633708853178,0.09377112634950001,0.727365936092,./logs/a3eb5c68-3faa-11e8-b6a5-d094662bd47d/model_25_3.h5
