model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,all,fa,6,origin,9.62135415106,10.1317486873,12.9127071126,0.0847976391969,0.703785897489,0.0993155353873,0.712916788507,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_5_3.h5
cnn,all,fa,2,origin,10.9626664765,11.444828534100001,12.939888764700001,0.108423101442,0.7490313427580001,0.10082398551,0.718070434729,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_1_2.h5
cnn,all,fa,4,origin,9.40251604304,10.184389472100001,12.887160171400001,0.0837334921025,0.6581700823219999,0.101140045017,0.696918505329,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_3_2.h5
cnn,all,pca,6,origin,10.4009069127,10.9092517571,12.931003372300001,0.09874332289030001,0.710424762244,0.101573078195,0.707179577118,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_4_2.h5
cnn,all,pca,6,origin,9.33092349965,10.2353257506,13.024349213599999,0.0842631312854,0.6918946963429999,0.101863064965,0.7130994488760001,./logs/4864a45c-318c-11e8-9556-d094662bd47d/best_model_2_0.h5
cnn,all,fa,2,origin,11.297667367799999,11.769977018699999,13.1104234749,0.115632923295,0.7577387498479999,0.103005776692,0.709858287984,./logs/0aa35f18-316a-11e8-b4b9-d094662bd47d/best_model_1_2.h5
cnn,all,pca,4,origin,9.98443899294,10.4937831415,13.1254535849,0.09194925307880003,0.719486454233,0.103313971438,0.701194406382,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_2_2.h5
cnn,all,pca,6,origin,9.42982214978,10.0334683867,13.1628590778,0.0838107017337,0.703278418416,0.103419212604,0.726526348624,./logs/0aa35f18-316a-11e8-b4b9-d094662bd47d/best_model_3_0.h5
cnn,all,pca,2,origin,10.8344118969,11.3995850219,13.1088424489,0.108728666597,0.762805789704,0.103740265365,0.7296527203800001,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_0_2.h5
cnn,all,fa,6,origin,9.918263127889999,10.499606225199999,13.2251612165,0.0891038813778,0.696787062542,0.10418447707100001,0.7103312326019999,./logs/0aa35f18-316a-11e8-b4b9-d094662bd47d/best_model_4_0.h5
cnn,all,pca,2,origin,10.8629233015,11.3883215964,13.0802859481,0.11036212789,0.769355844821,0.104227628147,0.728732231424,./logs/4864a45c-318c-11e8-9556-d094662bd47d/best_model_0_0.h5
cnn,all,fa,2,origin,10.984045390799999,11.4919668804,13.183278688900002,0.109326771699,0.7633802902590001,0.104553988874,0.723680635362,./logs/4864a45c-318c-11e8-9556-d094662bd47d/best_model_1_0.h5
cnn,all,fa,6,origin,10.2859069612,10.6631015277,13.136906458399999,0.0959347174167,0.7077680033589999,0.10519735208799999,0.719381890746,./logs/4864a45c-318c-11e8-9556-d094662bd47d/best_model_3_0.h5
cnn,all,pca,2,origin,10.9140906023,11.4038469074,13.1262794378,0.111216431096,0.766324873895,0.105706659476,0.7283709969509999,./logs/0aa35f18-316a-11e8-b4b9-d094662bd47d/best_model_0_1.h5
cnn,all,all,-1,origin,8.3325648146,9.366254670910001,13.0939860294,0.06590498885,0.5962118268509999,0.107156785802,0.7454817152840001,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_30_2.h5
cnn,all,all,-1,origin,8.16460352739,9.15978327543,12.968828741800001,0.0627855665938,0.596205549167,0.109820959918,0.74878490987,./logs/4864a45c-318c-11e8-9556-d094662bd47d/best_model_16_0.h5
cnn,all,fa,8,origin,12.322520943199999,12.4384283902,13.830381414300001,0.131184671811,0.788887854589,0.109896728145,0.7335754062340001,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_7_8.h5
cnn,all,pca,12,origin,8.461845938029999,10.934851838299998,13.789187863399999,0.07031268941310001,0.685016810036,0.109918129811,0.7564475668,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_10_0.h5
cnn,all,fa,20,origin,11.6354656247,12.0687403658,14.248336467,0.125126854046,0.7824088312549999,0.110805619728,0.777890235702,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_19_9.h5
cnn,all,pca,20,origin,9.03884725476,10.0178647808,13.6844071143,0.078374341331,0.701029479468,0.11134657634000003,0.741135919243,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_18_2.h5
cnn,all,pca,8,origin,8.73770690609,11.124592570999999,13.9903826629,0.0800533934938,0.671801607675,0.11315491425100001,0.713794747824,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_6_0.h5
cnn,all,pca,24,origin,8.42330592411,10.2936119052,14.0005277432,0.075815139123,0.71594150331,0.11392924132400001,0.7502627086310001,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_22_0.h5
cnn,all,fa,22,origin,7.59087746836,9.37918063233,13.3354166469,0.0594028369865,0.580719016259,0.114258756688,0.719275243582,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_21_2.h5
cnn,all,fa,16,origin,9.948932029360002,11.095622495999999,14.8886537367,0.0903450259481,0.6837961940080001,0.115540127764,0.7492837153740001,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_15_7.h5
cnn,all,fa,26,origin,9.437675914,10.4023651213,13.9650717618,0.0810490461778,0.650321362825,0.115867000652,0.756264194324,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_25_3.h5
cnn,all,fa,30,origin,8.335922523130003,9.70388282168,13.610745991500002,0.067301148016,0.603333713912,0.11619264663699999,0.7489343864929999,./logs/4864a45c-318c-11e8-9556-d094662bd47d/best_model_15_0.h5
cnn,all,pca,30,origin,8.849617673760001,9.89238883643,14.008564351199999,0.07595744878789999,0.673888097122,0.11703676150999999,0.736159824133,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_28_3.h5
cnn,all,pca,28,origin,10.138233657899999,11.0304613758,14.1405815775,0.0909993298481,0.695221805439,0.117467782422,0.742640903533,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_26_2.h5
cnn,all,fa,24,origin,8.64030653449,9.85462233279,13.9786132607,0.07052618657269999,0.6493815421060001,0.117618456155,0.749294251249,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_23_2.h5
cnn,all,pca,10,origin,9.247477313400001,9.94792220652,13.833223559,0.0815041393025,0.676119234967,0.11805950633500001,0.7272570403949999,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_8_2.h5
cnn,all,fa,14,origin,8.74412259267,9.72089470645,13.780055555799999,0.0709427703202,0.647037316193,0.118153841747,0.738103207648,./logs/a3eb5c68-3faa-11e8-a1bf-d094662bd47d/model_13_2.h5
cnn,all,fa,18,origin,9.4129573057,10.1033130136,13.8524381041,0.0819799941826,0.68721276515,0.118578730467,0.7441841409000001,./logs/4864a45c-318c-11e8-9556-d094662bd47d/best_model_9_0.h5
cnn,all,pca,22,origin,9.46511747052,10.4077133773,14.2780304077,0.0843494678126,0.669251751577,0.119598859913,0.742732604005,./logs/4864a45c-318c-11e8-9556-d094662bd47d/best_model_10_0.h5
