model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,all,all,-1,origin,8.85755273639,9.65872697671,12.854343339200001,0.0750372015835,0.630325470104,0.09912361400389999,0.730641264545,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_16_1.h5
cnn,all,pca,2,origin,11.780290433,12.3502110023,13.382413023699998,0.126355297443,0.792427655402,0.10739161242699999,0.7323092827519999,./logs/b4cf56fe-3188-11e8-86b8-6a00022fd770/best_model_0_0.h5
cnn,all,pca,2,origin,9.54938785233,9.53420436973,13.4039396853,0.19909908151500005,4.31292239764,0.119079318562,0.7651358389749999,./logs/9092b3f8-3188-11e8-a2f2-6a00022fd770/best_model_0_0.h5
cnn,all,all,-1,origin,9.90515634358,10.6148798093,14.844151652699999,0.08033847860889999,0.64431280615,0.122251210129,0.766887290934,./logs/b4cf56fe-3188-11e8-86b8-6a00022fd770/best_model_1_0.h5
cnn,all,pca,2,origin,11.582978866800001,12.2238039854,13.400572428499999,0.122996954276,0.786766749182,0.134747980592,2.24644841463,./logs/4ed4806c-3189-11e8-9737-6a00022fd770/best_model_0_0.h5
cnn,all,all,-1,origin,10.5087653181,11.051913981099998,15.1863881488,0.0869987794114,0.6585971611770001,0.15700168872099998,2.2616492216,./logs/4ed4806c-3189-11e8-9737-6a00022fd770/best_model_1_0.h5
cnn,all,all,-1,origin,9.2008963213,9.89306197873,16.5011239486,0.17322801849599995,4.25809923856,0.16786652699700005,0.964061769241,./logs/9092b3f8-3188-11e8-a2f2-6a00022fd770/best_model_1_0.h5
cnn,all,pca,2,origin,11.0372849965,11.8116219947,13.195536530999998,0.118312332948,0.8273565718070001,0.102954853109,0.74358252174,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_0_0.h5
cnn,all,fa,2,origin,10.956530898199999,11.5104251601,13.017590197,0.112643479495,0.7850388190250001,0.102956569389,0.7379054677689999,./logs/0aa16050-316a-11e8-9091-d094662bd47d/best_model_1_0.h5
cnn,all,pca,6,origin,9.210625594260001,9.763357907989999,13.1707697033,0.0834954820136,0.717901690221,0.104097888172,0.715606681698,./logs/0aa16050-316a-11e8-9091-d094662bd47d/best_model_3_0.h5
cnn,all,fa,6,origin,10.1689739128,10.7812080607,13.205596138699999,0.0972199326537,0.704629898715,0.104098690231,0.722518906228,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_3_0.h5
cnn,all,pca,2,origin,10.8627479311,11.625772984200001,13.094100658599999,0.11297587431,0.7774667969589999,0.105104710429,0.732034173768,./logs/0aa16050-316a-11e8-9091-d094662bd47d/best_model_0_1.h5
cnn,all,fa,6,origin,9.44383210368,10.386014791200001,13.4687033994,0.0826035663006,0.687315337747,0.10618319112,0.719748282567,./logs/0aa16050-316a-11e8-9091-d094662bd47d/best_model_4_0.h5
cnn,all,pca,6,origin,10.598556132999999,10.9607399156,13.2727426533,0.104512728134,0.700143783154,0.10701570675000001,0.703394080668,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_2_1.h5
cnn,all,fa,2,origin,11.1024281773,11.5644263286,13.238382478599998,0.114141014992,0.756012625732,0.108290824722,0.7151963485189999,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_1_0.h5
cnn,all,fa,18,origin,9.28698531969,9.90915550726,14.2626762565,0.0800488255053,0.667171717748,0.110967257784,0.730684682032,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_9_0.h5
cnn,all,pca,18,origin,9.94378503953,10.4480505698,14.268448790299999,0.0946348303205,0.734414795621,0.112527715669,0.7409904790449999,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_8_0.h5
cnn,all,pca,30,origin,8.69153319979,10.1019236972,14.1635427396,0.0728455304669,0.636991679822,0.11353422655999999,0.740147929172,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_14_0.h5
cnn,all,pca,10,origin,10.0685059545,10.5400897098,14.311389630299999,0.09548703982010001,0.694105798894,0.115720510376,0.7293264965199999,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_4_1.h5
cnn,all,pca,26,origin,9.26778566592,9.9920075278,13.665950116400001,0.08280999720139999,0.6719789566329999,0.11674305882000001,0.745008848056,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_12_0.h5
cnn,all,fa,26,origin,9.58468017846,10.102689122100001,14.0692115089,0.0952013252943,0.6673402045369999,0.120894394154,0.778076061177,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_13_1.h5
cnn,all,fa,30,origin,9.18099472353,9.83367617781,13.864198446500001,0.08190915130319999,0.665301148947,0.123646055485,0.760616148956,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_15_0.h5
cnn,all,pca,22,origin,9.369334887110002,10.085903977300001,14.9495241853,0.0820650884629,0.6519931533359999,0.125199825938,0.741676882076,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_10_0.h5
cnn,all,fa,10,origin,9.22825687631,9.869067623400001,14.2167204853,0.0815726369735,0.6456996806009999,0.127711933681,0.767755096327,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_5_0.h5
cnn,all,fa,22,origin,9.30871825126,10.1716208078,15.0869094073,0.08249803552289997,0.634414155098,0.135052102961,0.7698927622380001,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_11_1.h5
cnn,all,pca,14,origin,9.93138869739,10.3706629175,14.6594507327,0.09776791251660001,0.693523619946,0.144981983771,0.818859691595,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_6_1.h5
cnn,all,fa,14,origin,9.58382022085,10.2555649401,15.843069939000001,0.0879319937985,0.6666182442949999,0.17962671085999998,0.8367102833650001,./logs/ba6c381e-318a-11e8-b1aa-d094662bd47d/best_model_7_0.h5
cnn,all,tca,2,origin,11.017945666400001,12.0228497783,17.0489262868,0.10974504727,0.7240869545440001,0.206921271192,0.908526903269,./logs/0aa16050-316a-11e8-9091-d094662bd47d/best_model_2_0.h5
