model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,poi,pca,18,origin,10.739260596,11.986735961199999,13.5699885709,0.127836501254,0.7997162164280001,0.116036696754,0.7936606643790001,./logs/3a770874-34ef-11e8-80f2-d094662bd47d/best_model_8_1.h5
cnn,poi,fa,2,origin,11.5768462867,12.3955427555,13.7070071776,0.138621866017,0.862773359094,0.11728811316500001,0.839947013719,./logs/3a770874-34ef-11e8-80f2-d094662bd47d/best_model_1_0.h5
cnn,poi,pca,2,origin,11.5598524846,12.3338245572,13.9800563518,0.137430535021,0.880474217098,0.119076299284,0.842891502717,./logs/3a770874-34ef-11e8-80f2-d094662bd47d/best_model_0_0.h5
cnn,poi,pca,10,origin,10.579004725399999,11.5716288877,14.1474760009,0.120823194499,0.797646870707,0.120919620838,0.799461845798,./logs/3a770874-34ef-11e8-80f2-d094662bd47d/best_model_4_0.h5
cnn,poi,pca,14,origin,10.331733704500001,11.2826371282,14.306716443900001,0.116132732481,0.809232203909,0.121854369191,0.797195633156,./logs/3a770874-34ef-11e8-80f2-d094662bd47d/best_model_6_0.h5
cnn,poi,fa,18,origin,10.2533072101,11.5925248141,14.0119107675,0.11407631707499999,0.8080723724619999,0.123822132841,0.80386918689,./logs/3a770874-34ef-11e8-80f2-d094662bd47d/best_model_9_1.h5
cnn,poi,fa,6,origin,10.5979892829,11.9252637178,14.1511114201,0.11742830131899999,0.82240362415,0.124223453545,0.7952913166159999,./logs/3a770874-34ef-11e8-80f2-d094662bd47d/best_model_3_0.h5
cnn,poi,pca,6,origin,11.214108952,12.1803480027,14.3067937433,0.133139199705,0.844112913403,0.12863942932,0.850478838145,./logs/3a770874-34ef-11e8-80f2-d094662bd47d/best_model_2_0.h5
cnn,poi,fa,14,origin,9.21494558139,10.6550080174,15.035604415999998,0.09747865476739999,0.7158939368899999,0.137190911497,0.8322562315369999,./logs/3a770874-34ef-11e8-80f2-d094662bd47d/best_model_7_0.h5
cnn,poi,fa,10,origin,11.4356990302,12.5852746194,15.196113580499999,0.138124319322,0.866203755719,0.143476232629,0.838193990598,./logs/3a770874-34ef-11e8-80f2-d094662bd47d/best_model_5_0.h5
