model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,street,pca,2,origin,13.8887168718,14.941948502799999,15.5816126634,0.19393227703,1.04673742747,0.154379148351,0.871903794322,./logs/3a7d707e-34ef-11e8-b688-d094662bd47d/best_model_0_0.h5
cnn,street,fa,6,origin,10.3803512065,12.5659185263,16.0808937827,0.118049616688,0.833718589131,0.163501292366,0.843463301341,./logs/3a7d707e-34ef-11e8-b688-d094662bd47d/best_model_3_0.h5
cnn,street,fa,2,origin,13.951050728499998,15.3256897726,16.5907804774,0.19911949757199998,1.05882429858,0.168169217625,0.887681528064,./logs/3a7d707e-34ef-11e8-b688-d094662bd47d/best_model_1_0.h5
cnn,street,fa,10,origin,11.069774837799999,12.9190407015,16.3427847359,0.13019633078099999,0.869443012696,0.16915510725299998,0.862154491734,./logs/3a7d707e-34ef-11e8-b688-d094662bd47d/best_model_5_0.h5
cnn,street,pca,6,origin,12.3499043244,13.8333694372,16.4738587696,0.164783374758,0.928101371264,0.180756590634,0.901093002684,./logs/3a7d707e-34ef-11e8-b688-d094662bd47d/best_model_2_0.h5
cnn,street,pca,10,origin,14.056106571900001,14.9159979251,17.834661825799998,0.186935709635,0.951349894978,0.189453874994,0.8858126985510001,./logs/3a7d707e-34ef-11e8-b688-d094662bd47d/best_model_4_2.h5
cnn,street,fa,18,origin,10.2731003029,11.5739052703,17.3175634634,0.11257138404200001,0.826578693241,0.191210188271,0.9205671387190001,./logs/3a7d707e-34ef-11e8-b688-d094662bd47d/best_model_9_0.h5
cnn,street,pca,26,origin,11.150535189000001,12.1961055699,17.1589141098,0.137043871743,0.858849388793,0.192977366937,0.91439341149,./logs/3a7d707e-34ef-11e8-b688-d094662bd47d/best_model_12_1.h5
cnn,street,pca,30,origin,10.535424838600001,11.800731073900002,17.258490792,0.121249942986,0.828879038029,0.194074022663,0.906960381037,./logs/3a7d707e-34ef-11e8-b688-d094662bd47d/best_model_14_1.h5
cnn,street,pca,14,origin,9.95608257154,11.345076945899999,18.0911549129,0.107006499685,0.812970470402,0.2002844554,0.917928530327,./logs/3a7d707e-34ef-11e8-b688-d094662bd47d/best_model_6_0.h5
cnn,street,fa,22,origin,11.113008580199999,12.3614299131,17.7528534922,0.129229164562,0.8277070436059999,0.20048940439399998,0.951999490626,./logs/3a7d707e-34ef-11e8-b688-d094662bd47d/best_model_11_0.h5
cnn,street,pca,22,origin,11.608073086400001,12.4084685626,18.1520335973,0.138857158461,0.886484574392,0.206173519294,0.934610179637,./logs/3a7d707e-34ef-11e8-b688-d094662bd47d/best_model_10_0.h5
cnn,street,fa,14,origin,10.1949932344,11.5132262468,17.8714864052,0.111825093433,0.79702031892,0.21709103962600002,0.937829837812,./logs/3a7d707e-34ef-11e8-b688-d094662bd47d/best_model_7_0.h5
cnn,street,fa,30,origin,11.4063132744,12.3974077647,19.7013748796,0.14253235931,0.8437616276019999,0.265739407049,1.06135692248,./logs/3a7d707e-34ef-11e8-b688-d094662bd47d/best_model_15_0.h5
cnn,street,pca,18,origin,11.8590893622,12.9640610257,20.9940534627,0.152872219223,0.8877909818619999,0.281567617379,1.02723598452,./logs/3a7d707e-34ef-11e8-b688-d094662bd47d/best_model_8_1.h5
cnn,street,fa,26,origin,11.3180252906,12.8792053132,22.0146007809,0.129865160631,0.876732470114,0.290713664562,1.0216949290100001,./logs/3a7d707e-34ef-11e8-b688-d094662bd47d/best_model_13_1.h5
