model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
dense_cnn,all,fa,6,origin,10.5688584089,10.689782903300001,12.897607100899998,0.103097866137,0.7104697935969999,0.0996663057763,0.7132368091429999,./logs/ba6c3ec2-318a-11e8-b524-d094662bd47d/best_model_3_25.h5
dense_cnn,all,fa,2,origin,11.5650033377,11.926854078,12.9065293935,0.12159459627999998,0.803191151105,0.100417467378,0.7345346138109999,./logs/ba6c3ec2-318a-11e8-b524-d094662bd47d/best_model_1_8.h5
dense_cnn,all,fa,10,origin,10.5187649804,10.6147901695,13.0233024383,0.103655351083,0.738861624393,0.101058645401,0.748868124645,./logs/ba6c3ec2-318a-11e8-b524-d094662bd47d/best_model_5_0.h5
dense_cnn,all,pca,6,origin,11.0011652625,11.2120717348,12.9761080496,0.111329036662,0.7698478729539999,0.101821568644,0.732780771122,./logs/ba6c3ec2-318a-11e8-b524-d094662bd47d/best_model_2_5.h5
dense_cnn,all,pca,2,origin,11.5260097746,12.097671293800001,13.1964868129,0.126009715772,0.824137474491,0.105079925225,0.757839740575,./logs/62bd18b0-316a-11e8-933e-d094662bd47d/best_model_0_8.h5
dense_cnn,all,pca,2,origin,11.768257500299999,12.359367031600001,13.172388582,0.130048847654,0.824151651743,0.105395426746,0.7493444553659999,./logs/ba6c3ec2-318a-11e8-b524-d094662bd47d/best_model_0_12.h5
dense_cnn,all,fa,14,origin,10.1233629136,10.0894467141,13.2836678457,0.0968810322059,0.7049632658730001,0.109271354522,0.7469203781270001,./logs/ba6c3ec2-318a-11e8-b524-d094662bd47d/best_model_7_28.h5
dense_cnn,all,pca,14,origin,10.2170816436,10.2271152187,14.101105358599998,0.0984694466251,0.7151213756460001,0.11313870505200001,0.7423103279559999,./logs/ba6c3ec2-318a-11e8-b524-d094662bd47d/best_model_6_10.h5
dense_cnn,all,pca,18,origin,10.5864214701,10.7633588818,14.6292976857,0.110468014771,0.728946070405,0.11582098394300001,0.7464488358920001,./logs/ba6c3ec2-318a-11e8-b524-d094662bd47d/best_model_8_26.h5
dense_cnn,all,pca,10,origin,11.398125609800001,11.5814103151,14.322186761500001,0.121998738246,0.7422122538160001,0.12691119509999998,0.765262809756,./logs/ba6c3ec2-318a-11e8-b524-d094662bd47d/best_model_4_18.h5
