model_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,fa,18,False,7.91927971279608,9.815208902676877,11.409954812616347,0.0670298158213698,0.5970760971589284,0.08561794548142175,0.5896463237344473,./logs/0321091239/best_model_13_2.h5
cnn,fa,14,True,7.860056793032965,10.697516985129278,10.96091936198308,0.06899098544048687,0.7546905449596543,0.08600208429190452,0.6544370323734146,./logs/0321091147/best_model_10_0.h5
cnn,pca,26,True,7.605775931642885,10.120114719544684,10.722387122162626,0.06457701974754329,0.6952853335849283,0.08611317000149361,0.6494899017528549,./logs/0321091147/best_model_18_2.h5
cnn,pca,10,True,10.395308847850439,11.403227364508016,10.80060744033005,0.09806875570541808,0.85137421564202,0.08774065109058451,0.6677194225035364,./logs/0321091147/best_model_6_2.h5
cnn,fa,14,False,9.2723725577296,10.565679137701943,11.208075370360993,0.08552417125773995,0.654823437293922,0.08783408617915117,0.6192796958331725,./logs/0321091239/best_model_10_2.h5
cnn,pca,6,True,9.547350669043935,12.087747263649778,10.748838801624633,0.08855730282478871,0.7754846454496526,0.0892350729596866,0.7202917797596042,./logs/0321091147/best_model_3_2.h5
cnn,pca,14,True,9.25954384950639,10.79144782492193,10.84723021370633,0.08952062464712365,0.7773216772516582,0.08939187002666946,0.6711727079115171,./logs/0321091147/best_model_9_3.h5
cnn,fa,18,True,7.861861596112479,10.763832309114342,10.896755984218254,0.06379657693841306,0.6528001428862521,0.08980304445593247,0.6652312315981096,./logs/0321091147/best_model_13_0.h5
cnn,pca,6,False,7.894643093752892,10.65805025940496,10.941088989376123,0.06826175722371883,0.6229696438973055,0.09102393970223832,0.6770875946892352,./logs/0321091239/best_model_3_2.h5
cnn,tca,6,True,10.850551667333061,12.307755949090113,10.997782657903175,0.12135024583447646,0.8910385012912141,0.09150929216199924,0.6901016600679969,./logs/0321091147/best_model_5_2.h5
cnn,fa,6,False,8.915095955271722,10.99060708616652,11.22312608528475,0.08133927516894983,0.628280620250326,0.09209766694926066,0.6803021004276317,./logs/0321091239/best_model_4_2.h5
cnn,0.0,10,,8.243741212020629,10.68293688762892,11.149018516364851,0.07309443096168021,0.7047417325547897,0.09212852831644047,0.6735259015841484,./logs\0320182257\best_model_0_0.h5
dense_cnn,pca,22,True,10.130591869643874,10.657009791417352,11.396067233037693,0.1050136213763718,0.9838712354867218,0.09263108362036687,0.6732302257308151,./logs/0321091401/best_model_15_0.h5
cnn,pca,30,True,10.389001545179802,11.109094722176387,11.320744198007187,0.10342600661609938,0.7848589981207346,0.0932710284508804,0.6823523958454278,./logs/0321091147/best_model_21_2.h5
dense_cnn,tca,2,True,15.094313323009029,15.70447198974074,11.276532182354083,0.18322863754822916,1.0140075679791862,0.09328311742944258,0.703849471259457,./logs/0321091401/best_model_2_0.h5
cnn,pca,2,False,8.562045491248496,11.37825675182357,11.064387001136103,0.07891225807469125,0.6738979064464762,0.0933056405447442,0.6627390452130392,./logs/0321091239/best_model_0_0.h5
cnn,fa,30,False,7.66248080521881,10.161485775487737,11.581099070228472,0.05791625216713719,0.5883612493776285,0.09360238626259154,0.6491264600432725,./logs/0321091239/best_model_22_2.h5
cnn,fa,2,True,11.657174857777786,12.588435655425878,11.289266108865668,0.12520936745855613,0.9751334784475948,0.09404370090189028,0.7003944721174801,./logs/0321091147/best_model_1_0.h5
cnn,pca,2,True,10.518599085066477,12.30534034502143,10.993666187516494,0.1087004432146466,0.7869874544634903,0.0945753038876246,0.714549053451562,./logs/0321091147/best_model_0_1.h5
dense_cnn,tca,26,True,10.182552672492601,11.257995956982343,11.277333828276426,0.09864914751036141,0.7145213484559546,0.09475466533039378,0.6937857571757954,./logs/0321091401/best_model_20_2.h5
cnn,fa,22,False,7.1116221334387255,10.30640107481994,11.618699916776354,0.05650532575991054,0.6071131286039873,0.09503371450853526,0.6885290490184925,./logs/0321091239/best_model_16_2.h5
cnn,0.0,10,,9.272635945167481,10.395410136835006,11.339522198556399,0.08691711080802597,0.6508501184421723,0.09522388549044876,0.6757790500300035,./logs\0320184217\best_model_0_0.h5
