model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,all,tca,30,False,11.338320050685256,12.70466373021134,10.39755476091287,0.10980037871947647,0.6341243987920739,0.07997889087474785,0.6310994517818515,./logs/42dfdbc0-30f9-11e8-8c96-d094662bd47d.h5/best_model_23_0.h5
cnn,all,fa,30,False,8.352522532959236,9.49657358581788,10.819035383151245,0.06751499706462818,0.6221815513007432,0.08335846105310858,0.6463858153635702,./logs/42dfdbc0-30f9-11e8-8c96-d094662bd47d.h5/best_model_22_0.h5
cnn,all,tca,14,False,10.323625486689835,11.398143013177531,10.712274409663149,0.09552414175538447,0.6696335735494484,0.08401515795911116,0.6305717451795512,./logs/42dfdbc0-30f9-11e8-8c96-d094662bd47d.h5/best_model_11_2.h5
cnn,all,pca,30,False,8.948394387075535,10.20454393449651,10.89524002174677,0.07981432806659691,0.7289313234673062,0.08560038613625393,0.6868856289796862,./logs/42dfdbc0-30f9-11e8-8c96-d094662bd47d.h5/best_model_21_0.h5
cnn,all,fa,18,False,8.41085649014638,9.754741703882994,10.793284793088587,0.06723121171262265,0.6279176970152476,0.08753453545304109,0.6725586423632188,./logs/42dfdbc0-30f9-11e8-8c96-d094662bd47d.h5/best_model_13_0.h5
cnn,all,tca,10,False,8.588751164340826,9.920602891104647,10.827448135659143,0.0704134616899413,0.6562424605352094,0.0875764210070859,0.637901688837173,./logs/42dfdbc0-30f9-11e8-8c96-d094662bd47d.h5/best_model_8_0.h5
cnn,all,fa,22,False,7.380751806523986,9.212041478147405,10.952761502636513,0.05670709311760712,0.60132261906591,0.08853892497977088,0.6627579843815025,./logs/42dfdbc0-30f9-11e8-8c96-d094662bd47d.h5/best_model_16_0.h5
cnn,all,tca,18,False,10.213104903558463,11.306266085952458,10.802111965968358,0.08770137087933132,0.6609553766059045,0.08895779447594943,0.6890062207719574,./logs/42dfdbc0-30f9-11e8-8c96-d094662bd47d.h5/best_model_14_0.h5
cnn,all,pca,2,False,10.01712325226743,11.145417122212926,10.854570210305274,0.09754598427584879,0.7309056476245452,0.08937686485683977,0.681012352960043,./logs/42dfdbc0-30f9-11e8-8c96-d094662bd47d.h5/best_model_0_0.h5
cnn,all,pca,14,False,10.37552186810612,10.318158203016567,10.968263097683858,0.09942299926244204,0.6921329941619374,0.08969256813575953,0.6755004289107696,./logs/42dfdbc0-30f9-11e8-8c96-d094662bd47d.h5/best_model_9_2.h5
