model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,all,fa,18,origin,8.30891309921,10.3276732159,11.301093200699999,0.06964653751239999,0.6154329699100001,0.09602657655460001,0.727875366012,./logs/514a11d8-4087-11e8-95e8-a45e60d0b2df/model_0_0.h5
cnn,all,fa,18,origin,8.86786886632,9.90433518912,11.149700989600001,0.0768693799035,0.643955907989,0.09930091131249999,0.671190036419,./logs/3786f65c-4088-11e8-a06a-a45e60d0b2df/model_0_0.h5
cnn,all,fa,18,origin,9.23793455477,10.6601652827,11.9653663182,0.08555333358110001,0.721747451383,0.1071155463,0.785668212383,./logs/752555a4-4087-11e8-a1ba-a45e60d0b2df/model_0_0.h5
cnn,all,fa,18,origin,8.588997258760001,10.710544663,11.8885136035,0.0659911563201,0.6232691492010001,0.107558605219,0.775955442077,./logs/98ca2c50-4087-11e8-b8fd-a45e60d0b2df/model_0_0.h5
cnn,all,all,2,origin,9.98453764958,10.6377187154,11.9196436401,0.0761135744802,0.616673409496,0.1097026856,0.718022247328,./logs/15903dd0-3fa0-11e8-a9f1-a45e60d0b2df/best_model_0_0.h5
cnn,all,fa,18,origin,12.706340561600001,14.248232572300001,12.8132754085,0.124261644934,0.7697802926880001,0.12524709116,0.8427457538940001,./logs/4033a512-4087-11e8-ab34-a45e60d0b2df/model_0_0.h5
cnn,all,fa,18,origin,12.2270355433,14.2366471397,12.8685856055,0.135816196639,0.876937129932,0.126828676753,0.849063082921,./logs/840ccc64-4087-11e8-b7a3-a45e60d0b2df/model_0_0.h5
cnn,all,all,-1,origin,16.7587043557,17.5941965789,18.8064661298,0.12652392277000002,0.782451140328,0.131168099744,0.8185776294580001,./logs/01c2c99a-4085-11e8-94eb-a45e60d0b2df/model_1_0.h5
cnn,all,fa,18,origin,11.4098231802,12.2621374392,13.3710874602,0.127225379319,0.778301751352,0.134091364653,0.8630885971410001,./logs/080ed922-4087-11e8-b8c4-a45e60d0b2df/model_0_0.h5
cnn,all,all,-1,origin,8.93574933505,9.61963661417,10.682159811,0.07071551606389999,0.605491481475,0.137982789529,3.83613921862,./logs/60b7ea1e-3185-11e8-b8b5-6a00022fd770/best_model_1_0.h5
cnn,all,fa,18,origin,14.973213277200001,15.8763626899,13.9200326751,0.120309685139,0.7562782710539999,0.14461449527999998,0.9005844233700001,./logs/daf0e066-4086-11e8-9f7b-a45e60d0b2df/model_0_0.h5
cnn,all,fa,30,origin,10.951926500799999,11.4152308381,12.8762440117,0.0904671535778,0.6540177162740001,0.154421044029,3.89885080303,./logs/60b7ea1e-3185-11e8-b8b5-6a00022fd770/best_model_0_0.h5
cnn,all,fa,6,origin,18.0649422087,18.3672007823,16.7621380698,0.161507729869,0.807668173519,0.198962537631,0.99674237048,./logs/01c2c99a-4085-11e8-94eb-a45e60d0b2df/model_0_0.h5
cnn,all,all,-1,origin,8.17085324816,8.558149379380001,12.8460068724,0.171842993715,4.11647966959,0.200843760529,1.13660856832,./logs/229a8936-3186-11e8-b043-6a00022fd770/best_model_1_0.h5
cnn,all,fa,30,origin,10.2398419172,11.034100168800002,15.229552741700001,0.205350522818,4.1986144889,0.201349736433,1.1070970685700001,./logs/229a8936-3186-11e8-b043-6a00022fd770/best_model_0_0.h5
