model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,poi,fa,10,origin,12.7716627375,13.846157353399999,13.2989260266,0.155622463706,0.899820754173,0.117860277083,0.770023063049,./logs/3a7cd8f8-34ef-11e8-9e89-d094662bd47d/best_model_5_3.h5
cnn,poi,pca,2,origin,12.350831301400001,13.111069130999999,12.3344357047,0.150564674429,0.8771785599969999,0.120115305253,0.786652204446,./logs/3a7cd8f8-34ef-11e8-9e89-d094662bd47d/best_model_0_2.h5
cnn,poi,fa,2,origin,12.064245316400001,13.0111452683,12.481184277,0.147049500351,0.8756884882989999,0.120316583279,0.801395832388,./logs/3a7cd8f8-34ef-11e8-9e89-d094662bd47d/best_model_1_0.h5
cnn,poi,fa,6,origin,13.071838013099999,14.080316129000002,13.0377782804,0.153971084629,0.9000747437919999,0.12117428332499999,0.776794518691,./logs/3a7cd8f8-34ef-11e8-9e89-d094662bd47d/best_model_3_2.h5
cnn,poi,pca,10,origin,11.1408052152,12.2460397309,12.887857014000001,0.127218081162,0.81817213758,0.125488871374,0.781078510107,./logs/3a7cd8f8-34ef-11e8-9e89-d094662bd47d/best_model_4_0.h5
cnn,poi,pca,14,origin,9.85707757842,11.1866331944,13.2290727023,0.108102724091,0.778327969094,0.126817634133,0.789843092012,./logs/3a7cd8f8-34ef-11e8-9e89-d094662bd47d/best_model_6_0.h5
cnn,poi,pca,6,origin,11.6090018747,12.704432667699999,12.4265220242,0.139836098036,0.823476415949,0.129195124079,0.808384190948,./logs/3a7cd8f8-34ef-11e8-9e89-d094662bd47d/best_model_2_1.h5
cnn,poi,all,-1,origin,14.404446229500001,15.4347823335,15.845802123199999,0.169135833692,0.8934638088519999,0.131899017103,0.7727744488539999,./logs/96c1bfda-3160-11e8-ab62-6a00022fd770.h5/best_model_2_0.h5
cnn,poi,fa,10,origin,13.732684987799999,14.876806231400002,15.0144356733,0.175992662429,0.894249812556,0.133928892153,0.768902086779,./logs/3544b1e6-3164-11e8-8dec-6a00022fd770/best_model_0_0.h5
cnn,poi,all,-1,origin,11.9762360239,12.830831958900001,15.2117204249,0.145608596177,0.858380977727,0.13692797639,0.797849205555,./logs/f89d7194-3166-11e8-96e4-6a00022fd770/best_model_2_0.h5
cnn,poi,all,-1,origin,12.779232316600002,13.579525496199999,14.2738539616,0.15095857487,0.868433593187,0.144079835697,0.820217229025,./logs/16bf4af4-3166-11e8-8635-6a00022fd770/best_model_2_0.h5
cnn,poi,all,-1,origin,12.493864609100001,13.339183486600001,14.1957779922,0.150520914351,0.845373723221,0.144251286442,0.8319419134460001,./logs/3544b1e6-3164-11e8-8dec-6a00022fd770/best_model_2_0.h5
cnn,poi,pca,18,origin,10.740352811500001,11.505906019200001,13.4914289818,0.127855770123,0.7897645262809999,0.145377193007,0.8382970893889999,./logs/3a7cd8f8-34ef-11e8-9e89-d094662bd47d/best_model_8_1.h5
cnn,poi,fa,18,origin,10.2881778571,11.3923309351,14.031224793599998,0.11687779219599999,0.786816721031,0.145607900812,0.822665212897,./logs/3a7cd8f8-34ef-11e8-9e89-d094662bd47d/best_model_9_1.h5
cnn,poi,fa,10,origin,12.824781423900001,13.8862511745,15.1230618352,0.159135497369,0.914559699447,0.14654086840999994,0.829127905153,./logs/f89d7194-3166-11e8-96e4-6a00022fd770/best_model_0_0.h5
cnn,poi,fa,10,origin,14.4849537396,15.5505337622,17.2669682665,0.171417388469,0.922310048126,0.163406426989,0.8315557356209999,./logs/96c1bfda-3160-11e8-ab62-6a00022fd770.h5/best_model_0_0.h5
cnn,poi,fa,14,origin,10.67958217,12.0039449629,16.468045572,0.11580466852099999,0.8060707540340001,0.19476095989199999,0.9190120432879999,./logs/3a7cd8f8-34ef-11e8-9e89-d094662bd47d/best_model_7_0.h5
cnn,poi,fa,10,origin,14.6555595578,15.789353366199999,19.4341595894,0.211179129425,0.898417189497,0.217971543697,0.866394072526,./logs/16bf4af4-3166-11e8-8635-6a00022fd770/best_model_0_0.h5
