model_choice,feature_choice,reducer_choice,n_components,y_scale,train_rmse,val_rmse,test_rmse,s_kl,s_rmlse,t_kl,t_rmlse,model_path
cnn,street,fa,10,origin,14.869181411300001,16.5338445708,15.6603402027,0.21702388785500001,1.0425080854100002,0.149908766512,0.850967701498,./logs/3a78b66a-34ef-11e8-833f-d094662bd47d/best_model_5_2.h5
cnn,street,fa,30,origin,13.992208936199999,14.9037961377,14.952941564000001,0.179749829523,0.9362752803929999,0.152777911569,0.798856304024,./logs/3a78b66a-34ef-11e8-833f-d094662bd47d/best_model_15_2.h5
cnn,street,fa,18,origin,11.070201056099998,12.4251843197,15.1618337481,0.13240880431500002,0.871782805206,0.158432139565,0.830848292376,./logs/3a78b66a-34ef-11e8-833f-d094662bd47d/best_model_9_0.h5
cnn,street,pca,6,origin,11.3335179106,12.4211371462,15.0315051404,0.136453394415,0.922287225829,0.15958901835300002,0.7632445905949999,./logs/3a78b66a-34ef-11e8-833f-d094662bd47d/best_model_2_0.h5
cnn,street,pca,18,origin,10.6993444098,11.6079319221,13.613328147,0.121092640001,0.8572050926729999,0.166190917129,0.7753671998370001,./logs/3a78b66a-34ef-11e8-833f-d094662bd47d/best_model_8_0.h5
cnn,street,pca,26,origin,11.6188137898,12.5183067051,13.954199123099999,0.143506356329,0.8580651757629999,0.168213940518,0.793902162183,./logs/3a78b66a-34ef-11e8-833f-d094662bd47d/best_model_12_0.h5
cnn,street,fa,2,origin,13.0797497908,14.4770614677,16.2450375493,0.18121619586399998,1.04252678811,0.17264925423,0.7764278548119999,./logs/3a78b66a-34ef-11e8-833f-d094662bd47d/best_model_1_0.h5
cnn,street,pca,10,origin,12.642209277000001,13.3194345868,13.818106508900001,0.15702712299799998,0.941785389956,0.17293448679200002,0.788909351984,./logs/3a78b66a-34ef-11e8-833f-d094662bd47d/best_model_4_0.h5
cnn,street,pca,14,origin,11.3219346671,12.5974344596,14.5604090362,0.133533158931,0.8578246369820001,0.179989157636,0.8050472752150001,./logs/3a78b66a-34ef-11e8-833f-d094662bd47d/best_model_6_0.h5
cnn,street,fa,26,origin,13.6081066473,14.3453665389,15.4555757663,0.173543207924,0.922258274204,0.180499835743,0.8324037481409999,./logs/3a78b66a-34ef-11e8-833f-d094662bd47d/best_model_13_2.h5
cnn,street,fa,22,origin,11.4578777948,12.7788524658,15.3830023259,0.140975497681,0.8909828910809999,0.18099601817000002,0.882435572627,./logs/3a78b66a-34ef-11e8-833f-d094662bd47d/best_model_11_1.h5
cnn,street,pca,2,origin,14.139380642899999,15.3798524341,15.5932848966,0.200388505469,1.03229330498,0.18160978754,0.8371522477240001,./logs/3a78b66a-34ef-11e8-833f-d094662bd47d/best_model_0_0.h5
cnn,street,pca,30,origin,11.8379725293,12.4864398816,14.410729356700001,0.159347377222,0.880531521611,0.187898902138,0.835488096442,./logs/3a78b66a-34ef-11e8-833f-d094662bd47d/best_model_14_0.h5
cnn,street,pca,22,origin,10.356152181599999,11.603229264300001,14.828006824800001,0.114843969399,0.8142948249899999,0.201469986625,0.8211030349740001,./logs/3a78b66a-34ef-11e8-833f-d094662bd47d/best_model_10_0.h5
cnn,street,fa,14,origin,12.4138338848,13.598874368399999,14.7988074957,0.175805092059,0.884735852594,0.203974465048,0.852432254513,./logs/3a78b66a-34ef-11e8-833f-d094662bd47d/best_model_7_0.h5
cnn,street,fa,6,origin,11.180793342000001,13.064469032,16.7125039889,0.13168594039599998,0.841872928407,0.223953031373,0.8393934270640001,./logs/3a78b66a-34ef-11e8-833f-d094662bd47d/best_model_3_0.h5
